,MR,属性,篇章,获取方式,上线时间
1,陪伴,逻辑,旖慕篇,「花遇惠风」活动,2021.03.04
2,寄意,直觉,甜蜜篇,「花间密语」活动,2021.08.05
3,明熹,逻辑,甜蜜篇,「专项咨询」活动,2021.08.27
4,囚月,共情,异世篇,「幻夜呓语」活动,2021.10.22
5,挚切,共情,甜蜜篇,「浓情浅吻」活动,2022.02.10
6,晴絮,共情,甜蜜篇,「偷心机密」活动,2022.04.28
7,涎涟,直觉,约定篇,「百味盈欢」活动,2022.09.06
8,幻诱,逻辑,异世篇,「漫想夜话」活动,2022.10.27
9,沉溺,直觉,约定篇,「情沐秘邀」活动,2023.02.10
10,缠恋,共情,甜蜜篇,「专项咨询」活动,2023.03.02
11,拥怀,直觉,约定篇,「祈慕誓吻」活动,2023.05.16
12,鸣琴 [16],逻辑,挚爱篇,「与君聆珍意」活动,2023.08.17
13,孤注 [14],直觉,挚爱篇,「绮梦之夜」活动,2023.10.26
14,向暖 [11],共情,挚爱篇,「蜜夜诞礼」活动,2023.12.21
15,跃动 [8],直觉,挚爱篇,「恣意腾跃」活动,2024.02.22
16,掌慕 [7],逻辑,异世篇,「巧心梦与掌中诗」活动,2024.03.14
17,凯旋,直觉,挚爱篇,「山雪长念」活动,2024.08.05
18,惊寐,共情,挚爱篇,「未名夜惊魂」活动,2024.10.25
19,雪幕,逻辑,挚爱篇,「霜鸿捕珍」活动,2025.01.10
20,丝迹,共情,挚爱篇,「鸣沙踏歌」活动,2025.02.13
21,赴焰,逻辑,挚爱篇,「绮念信笺兑换所」兑换,2025.04.03
22,执刃,直觉,挚爱篇,「守愿拾辉」活动,2025.06.24